Time,Pose_X,Pose_Y,Rezero_timestamp
1739967508.8,43,91,0
1739967508.9,43,88,0.100000143051147
1739967509,45,83,0.200000047683716
1739967509.1,41,83,0.299999952316284
1739967509.2,51,90,0.400000095367432
1739967509.3,47,94,0.5
1739967509.4,45,89,0.600000143051147
1739967509.5,42,95,0.700000047683716
1739967509.6,55,97,0.799999952316284
1739967509.7,51,88,0.900000095367432
1739967509.8,56,92,1
1739967509.9,48,92,1.10000014305115
1739967510,43,91,1.20000004768372
1739967510.1,45,88,1.29999995231628
1739967510.2,51,74,1.40000009536743
1739967510.3,43,94,1.5
1739967510.4,45,92,1.60000014305115
1739967510.5,45,96,1.70000004768372
1739967510.6,54,79,1.79999995231628
1739967510.7,44,91,1.90000009536743
1739967510.8,52,72,2
1739967510.9,44,92,2.10000014305115
1739967511,47,77,2.20000004768372
1739967511.1,44,96,2.29999995231628
1739967511.2,47,97,2.40000009536743
1739967511.3,47,97,2.5
1739967511.4,44,97,2.60000014305115
1739967511.5,39,94,2.70000004768372
1739967511.6,50,82,2.79999995231628
1739967511.7,50,82,2.90000009536743
1739967511.8,54,85,3
1739967511.9,44,101,3.10000014305115
1739967512,44,100,3.20000004768372
1739967512.1,50,101,3.29999995231628
1739967512.2,48,86,3.40000009536743
1739967512.3,51,82,3.5
1739967512.4,56,105,3.60000014305115
1739967512.5,51,86,3.70000004768372
1739967512.6,42,82,3.79999995231628
1739967512.7,44,104,3.90000009536743
1739967512.8,44,106,4
1739967512.9,46,87,4.10000014305115
1739967513,43,80,4.20000004768372
1739967513.1,44,82,4.29999995231628
1739967513.2,43,102,4.40000009536743
1739967513.3,43,81,4.5
1739967513.4,48,105,4.60000014305115
1739967513.5,48,81,4.70000004768372
1739967513.6,47,81,4.79999995231628
1739967513.7,45,103,4.90000009536743
1739967513.8,44,110,5
1739967513.9,46,90,5.10000014305115
1739967514,41,83,5.20000004768372
1739967514.1,41,88,5.29999995231628
1739967514.2,43,107,5.40000009536743
1739967514.3,39,108,5.5
1739967514.4,47,110,5.60000014305115
1739967514.5,49,88,5.70000004768372
1739967514.6,52,112,5.79999995231628
1739967514.7,45,111,5.90000009536743
1739967514.8,53,95,6
1739967514.9,48,95,6.10000014305115
1739967515,53,90,6.20000004768372
1739967515.1,40,111,6.29999995231628
1739967515.2,44,103,6.40000009536743
1739967515.3,54,95,6.5
1739967515.4,40,110,6.60000014305115
1739967515.5,48,112,6.70000004768372
1739967515.6,43,120,6.79999995231628
1739967515.7,44,118,6.90000009536743
1739967515.8,52,109,7
1739967515.9,47,88,7.10000014305115
1739967516,48,92,7.20000004768372
1739967516.1,43,107,7.29999995231628
1739967516.2,47,105,7.40000009536743
1739967516.3,54,117,7.5
1739967516.4,50,117,7.60000014305115
1739967516.5,43,117,7.70000004768372
1739967516.6,46,109,7.79999995231628
1739967516.7,51,119,7.90000009536743
1739967516.8,51,121,8
1739967516.9,46,101,8.10000014305115
1739967517,40,116,8.20000004768372
1739967517.1,40,116,8.29999995231628
1739967517.2,39,116,8.40000009536743
1739967517.3,45,117,8.5
1739967517.4,40,118,8.60000014305115
1739967517.5,42,101,8.70000004768372
1739967517.6,49,119,8.79999995231628
1739967517.7,46,104,8.90000009536743
1739967517.8,48,96,9
1739967517.9,51,118,9.10000014305115
1739967518,44,116,9.20000004768372
1739967518.1,47,125,9.29999995231628
1739967518.2,50,135,9.40000009536743
1739967518.3,45,125,9.5
1739967518.4,48,109,9.60000014305115
1739967518.5,52,96,9.70000004768372
1739967518.6,49,120,9.79999995231628
1739967518.7,48,121,9.90000009536743
1739967518.8,47,126,10
1739967518.9,47,122,10.1000001430511
1739967519,47,122,10.2000000476837
1739967519.1,46,122,10.2999999523163
1739967519.2,51,100,10.4000000953674
1739967519.3,52,98,10.5
1739967519.4,51,99,10.6000001430511
1739967519.5,47,123,10.7000000476837
1739967519.6,48,100,10.7999999523163
1739967519.7,46,100,10.9000000953674
1739967519.8,47,99,11
1739967519.9,49,100,11.1000001430511
1739967520,51,101,11.2000000476837
1739967520.1,59,105,11.2999999523163
1739967520.2,47,100,11.4000000953674
1739967520.3,54,103,11.5
1739967520.4,55,107,11.6000001430511
1739967520.5,42,104,11.7000000476837
1739967520.6,45,127,11.7999999523163
1739967520.7,42,134,11.9000000953674
1739967520.8,47,130,12
1739967520.9,43,112,12.1000001430511
1739967521,51,128,12.2000000476837
1739967521.1,49,134,12.2999999523163
1739967521.2,55,111,12.4000000953674
1739967521.3,45,131,12.5
1739967521.4,41,140,12.6000001430511
1739967521.5,37,136,12.7000000476837
1739967521.6,42,135,12.7999999523163
1739967521.7,42,143,12.9000000953674
1739967521.8,40,134,13
1739967521.9,40,144,13.1000001430511
1739967522,44,142,13.2000000476837
1739967522.1,41,142,13.2999999523163
1739967522.2,41,148,13.4000000953674
1739967522.3,47,145,13.5
1739967522.4,48,121,13.6000001430511
1739967522.5,47,144,13.7000000476837
1739967522.6,48,146,13.7999999523163
1739967522.7,48,147,13.9000000953674
1739967522.8,47,152,14
1739967522.9,48,148,14.1000001430511
1739967523,46,124,14.2000000476837
1739967523.1,47,124,14.2999999523163
1739967523.2,49,126,14.4000000953674
1739967523.3,40,149,14.5
1739967523.4,39,150,14.6000001430511
1739967523.5,41,150,14.7000000476837
1739967523.6,47,152,14.7999999523163
1739967523.7,51,130,14.9000000953674
1739967523.8,44,149,15
1739967523.9,42,152,15.1000001430511
1739967524,42,151,15.2000000476837
1739967524.1,45,151,15.2999999523163
1739967524.2,47,154,15.4000000953674
1739967524.3,50,158,15.5
1739967524.4,43,153,15.6000001430511
1739967524.5,43,132,15.7000000476837
1739967524.6,44,153,15.7999999523163
1739967524.7,41,157,15.9000000953674
1739967524.8,39,157,16
1739967524.9,45,155,16.1000001430511
1739967525,39,155,16.2000000476837
1739967525.1,44,157,16.2999999523163
1739967525.2,52,153,16.4000000953674
1739967525.3,38,155,16.5
1739967525.4,37,161,16.6000001430511
1739967525.5,43,157,16.7000000476837
1739967525.6,42,155,16.7999999523163
1739967525.7,42,155,16.9000000953674
1739967525.8,46,159,17
1739967525.9,30,148,17.1000001430511
1739967526,34,165,17.2000000476837
1739967526.1,31,164,17.2999999523163
1739967526.2,34,165,17.4000000953674
1739967526.3,36,165,17.5
1739967526.4,41,160,17.6000001430511
1739967526.5,29,159,17.7000000476837
1739967526.6,34,167,17.7999999523163
1739967526.7,42,166,17.9000000953674
1739967526.8,37,168,18
1739967526.9,46,145,18.1000001430511
1739967527,45,166,18.2000000476837
1739967527.1,47,167,18.2999999523163
1739967527.2,47,172,18.4000000953674
1739967527.3,43,167,18.5
1739967527.4,47,173,18.6000001430511
1739967527.5,46,173,18.7000000476837
1739967527.6,44,169,18.7999999523163
1739967527.7,43,169,18.9000000953674
1739967527.8,43,170,19
1739967527.9,42,169,19.1000001430511
1739967528,41,168,19.2000000476837
1739967528.1,41,166,19.2999999523163
1739967528.2,41,167,19.4000000953674
1739967528.3,42,146,19.5
1739967528.4,41,169,19.6000001430511
1739967528.5,41,171,19.7000000476837
1739967528.6,42,172,19.7999999523163
1739967528.7,43,176,19.9000000953674
1739967528.8,42,175,20
1739967528.9,41,169,20.1000001430511
1739967529,44,179,20.2000000476837
1739967529.1,39,179,20.2999999523163
1739967529.2,40,170,20.4000000953674
1739967529.3,40,174,20.5
1739967529.4,38,171,20.6000001430511
1739967529.5,35,172,20.7000000476837
1739967529.6,40,178,20.7999999523163
1739967529.7,42,178,20.9000000953674
1739967529.8,41,180,21
1739967529.9,44,185,21.1000001430511
1739967530,39,183,21.2000000476837
1739967530.1,36,180,21.2999999523163
1739967530.2,40,181,21.4000000953674
1739967530.3,32,178,21.5
1739967530.4,45,182,21.6000001430511
1739967530.5,41,184,21.7000000476837
1739967530.6,36,188,21.7999999523163
1739967530.7,44,189,21.9000000953674
1739967530.8,40,178,22
1739967530.9,42,187,22.1000001430511
1739967531,45,189,22.2000000476837
1739967531.1,44,191,22.2999999523163
1739967531.2,41,182,22.4000000953674
1739967531.3,40,191,22.5
1739967531.4,36,193,22.6000001430511
1739967531.5,34,191,22.7000000476837
1739967531.6,43,187,22.7999999523163
1739967531.7,43,188,22.9000000953674
1739967531.8,42,185,23
1739967531.9,41,178,23.1000001430511
