,AUV_x_pixels,AUV_y_pixels,AUV_x_real,AUV_y_real
0,308,520,3.08,1.56
1,309,520,3.09,1.56
2,309,520,3.09,1.56
3,310,520,3.1,1.56
4,310,520,3.1,1.56
5,310,520,3.1,1.56
6,311,520,3.11,1.56
7,311,520,3.11,1.56
8,312,520,3.12,1.56
9,314,520,3.14,1.56
10,315,520,3.15,1.56
11,313,520,3.13,1.56
12,316,520,3.16,1.56
13,317,520,3.17,1.56
14,314,520,3.14,1.56
15,317,520,3.17,1.56
16,317,520,3.17,1.56
17,316,519,3.16,1.557
18,317,519,3.17,1.557
19,318,520,3.18,1.56
20,318,520,3.18,1.56
21,319,520,3.19,1.56
22,321,520,3.21,1.56
23,321,520,3.21,1.56
24,320,520,3.2,1.56
25,322,520,3.22,1.56
26,323,520,3.23,1.56
27,321,520,3.21,1.56
28,322,520,3.22,1.56
29,322,520,3.22,1.56
30,322,519,3.22,1.557
31,322,519,3.22,1.557
32,322,519,3.22,1.557
33,323,519,3.23,1.557
34,323,519,3.23,1.557
35,323,519,3.23,1.557
36,324,519,3.24,1.557
37,324,519,3.24,1.557
38,324,519,3.24,1.557
39,325,519,3.25,1.557
40,325,519,3.25,1.557
41,325,519,3.25,1.557
42,326,519,3.2600000000000002,1.557
43,326,519,3.2600000000000002,1.557
44,327,519,3.27,1.557
45,327,519,3.27,1.557
46,327,519,3.27,1.557
47,328,519,3.2800000000000002,1.557
48,328,519,3.2800000000000002,1.557
49,329,519,3.29,1.557
50,330,519,3.3000000000000003,1.557
51,330,519,3.3000000000000003,1.557
52,330,519,3.3000000000000003,1.557
53,331,519,3.31,1.557
54,331,519,3.31,1.557
55,332,518,3.3200000000000003,1.554
56,332,519,3.3200000000000003,1.557
57,333,519,3.33,1.557
58,333,519,3.33,1.557
59,334,519,3.34,1.557
60,334,519,3.34,1.557
61,334,519,3.34,1.557
62,335,519,3.35,1.557
63,335,520,3.35,1.56
64,336,519,3.36,1.557
65,336,519,3.36,1.557
66,337,519,3.37,1.557
67,337,519,3.37,1.557
68,338,519,3.38,1.557
69,338,519,3.38,1.557
70,339,519,3.39,1.557
71,339,519,3.39,1.557
72,340,519,3.4,1.557
73,340,519,3.4,1.557
74,341,519,3.41,1.557
75,341,519,3.41,1.557
76,342,519,3.42,1.557
77,342,519,3.42,1.557
78,343,519,3.43,1.557
79,343,519,3.43,1.557
80,344,519,3.44,1.557
81,344,519,3.44,1.557
82,344,519,3.44,1.557
83,345,519,3.45,1.557
84,345,519,3.45,1.557
85,346,519,3.46,1.557
86,346,519,3.46,1.557
87,347,519,3.47,1.557
88,347,519,3.47,1.557
89,347,519,3.47,1.557
90,348,519,3.48,1.557
91,348,519,3.48,1.557
92,348,519,3.48,1.557
93,349,519,3.49,1.557
94,350,519,3.5,1.557
95,350,519,3.5,1.557
96,350,519,3.5,1.557
97,352,519,3.52,1.557
98,352,518,3.52,1.554
99,352,519,3.52,1.557
100,353,519,3.5300000000000002,1.557
101,353,519,3.5300000000000002,1.557
102,353,519,3.5300000000000002,1.557
103,353,519,3.5300000000000002,1.557
104,354,519,3.54,1.557
105,354,518,3.54,1.554
106,355,518,3.5500000000000003,1.554
107,355,518,3.5500000000000003,1.554
108,355,518,3.5500000000000003,1.554
109,356,518,3.56,1.554
110,356,519,3.56,1.557
111,356,519,3.56,1.557
112,357,518,3.5700000000000003,1.554
113,357,519,3.5700000000000003,1.557
114,357,519,3.5700000000000003,1.557
115,358,519,3.58,1.557
116,358,519,3.58,1.557
117,359,519,3.59,1.557
118,359,519,3.59,1.557
119,360,519,3.6,1.557
120,360,519,3.6,1.557
121,360,519,3.6,1.557
122,361,519,3.61,1.557
123,361,519,3.61,1.557
124,361,520,3.61,1.56
125,362,520,3.62,1.56
126,362,520,3.62,1.56
127,363,520,3.63,1.56
128,363,520,3.63,1.56
129,364,521,3.64,1.563
130,364,521,3.64,1.563
131,364,521,3.64,1.563
132,365,521,3.65,1.563
133,366,522,3.66,1.566
134,366,522,3.66,1.566
135,366,522,3.66,1.566
136,366,522,3.66,1.566
137,367,522,3.67,1.566
138,367,522,3.67,1.566
139,368,523,3.68,1.569
140,368,523,3.68,1.569
141,369,523,3.69,1.569
142,369,523,3.69,1.569
143,370,524,3.7,1.572
144,370,524,3.7,1.572
145,370,524,3.7,1.572
146,370,524,3.7,1.572
147,371,524,3.71,1.572
148,371,524,3.71,1.572
149,372,525,3.72,1.575
