Timestamp,Sonar_Distance_1,Confidence_1,Sonar_Distance_2,Confidence_2,Sonar_Distance_3,Rezero_timestamp
1739938595.10854,12638,100,8625,100,0,0
1739938595.75157,12506,100,8465,100,0,0.643029928207397
1739938596.39441,12518,100,8298,100,0,1.28586983680725
1739938597.03777,12504,100,8130,100,0,1.9292299747467
1739938597.67535,12525,100,7977,100,0,2.56680989265442
1739938598.31792,12542,100,7819,100,0,3.20937991142273
1739938598.9556,12608,100,7673,100,0,3.84705996513367
1739938599.59315,12686,100,7527,100,0,4.48460984230042
1739938600.23084,12707,100,7379,100,0,5.12229990959168
1739938600.86838,12710,100,7224,100,0,5.75984001159668
1739938601.50557,12712,100,7054,100,0,6.39702987670898
1739938602.14314,12689,100,6899,100,0,7.03460001945496
1739938602.78048,12671,100,6780,100,0,7.67193984985352
1739938603.41308,12644,100,6639,100,0,8.30453991889954
1739938604.04526,12617,100,6491,100,0,8.93671989440918
1739938604.67708,12561,100,6345,100,0,9.56853985786438
1739938605.30991,12492,100,6190,100,0,10.2013700008392
1739938605.94251,12470,100,6039,100,0,10.8339698314667
1739938606.5744,12459,100,5889,100,0,11.4658598899841
1739938607.20643,12438,100,5737,100,0,12.0978899002075
1739938607.83765,12436,100,5586,100,0,12.7291100025177
1739938608.46991,12428,100,5435,100,0,13.3613698482513
1739938609.09725,12426,100,5257,100,0,13.9887099266052
1739938609.72426,12414,100,5102,100,0,14.6157200336456
1739938610.35159,12409,100,4951,100,0,15.2430498600006
1739938610.9793,12394,100,4797,100,0,15.8707599639893
1739938611.60673,12395,100,4652,100,0,16.4981899261475
1739938612.23362,12394,100,4505,100,0,17.125079870224
1739938612.85578,12395,100,4359,100,0,17.7472398281097
1739938613.48313,12386,100,4216,100,0,18.3745899200439
1739938614.10482,12417,100,4073,100,0,18.9962799549103
1739938614.72707,12409,100,3928,100,0,19.6185300350189
1739938615.34853,12405,100,3782,100,0,20.2399899959564
1739938615.9704,12423,100,3638,100,0,20.86186003685
1739938616.58702,12400,100,3493,100,0,21.4784798622131
1739938617.20828,12386,100,3350,100,0,22.0997400283813
1739938617.83038,12374,100,3205,100,0,22.7218399047852
1739938618.45192,12352,100,3057,100,0,23.3433799743652
1739938619.07311,12342,100,2907,100,0,23.9645700454712
1739938619.68917,12313,100,2757,100,0,24.580629825592
1739938620.30543,12302,100,2606,100,0,25.1968898773193
1739938620.92279,12295,100,2455,100,0,25.8142499923706
1739938621.53423,12268,100,2305,100,0,26.4256899356842
1739938622.14601,12271,100,2162,100,0,27.0374698638916
1739938622.75789,12278,100,2018,100,0,27.6493499279022
1739938623.36938,12291,100,1869,100,0,28.2608399391174
1739938623.9862,12303,100,1720,100,0,28.877660036087
1739938624.59714,12315,100,1571,100,0,29.4886000156403
1739938625.20858,12365,100,1423,100,0,30.1000399589539
1739938625.81996,12380,100,1278,100,0,30.7114200592041
1739938626.43172,12391,100,1133,100,0,31.3231799602509
1739938627.04304,12404,100,986,100,0,31.9344999790192
